"","title","karyotype"
"GSM1134016","XX_rep1","46XX"
"GSM1134017","XX_rep2","46XX"
"GSM1134018","XX_rep3","46XX"
"GSM1134023","XX_rep8","46XX"
"GSM1134024","XX_rep9","46XX"
"GSM1134025","XX_rep10","46XX"
"GSM1134026","Xm_rep1","45Xm"
"GSM1134028","Xm_rep3","45Xm"
"GSM1134032","Xm_rep7","45Xm"
"GSM1134033","Xm_rep8","45Xm"
"GSM1134038","Xm_rep13","45Xm"
"GSM1134040","Xm_rep15","45Xm"
"GSM1134042","Xp_rep1","45Xp"
"GSM1134043","Xp_rep2","45Xp"
"GSM1134044","Xp_rep3","45Xp"
"GSM1134045","Xp_rep4","45Xp"
"GSM1134048","Xp_rep7","45Xp"
"GSM1134050","Xp_rep9","45Xp"
