"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-6798695","Neutrophil degranulation","79/891","477/10668",1.78611669145953e-09,2.2772987816109e-06,2.0530941337619e-06,"IQGAP1/CLEC5A/SCAMP1/ATP8B4/CPNE1/FCGR2A/CYBA/ATP11B/CAND1/C3AR1/TBC1D10C/VNN1/GLIPR1/RAB37/ACTR2/DEGS1/SPTAN1/CAT/QPCT/FTH1/GAA/CD58/DNAJC13/ARPC5/CCT2/NBEAL2/HSP90AA1/CREG1/HBB/RNASE2/MAPK14/ORMDL3/CTSC/RAB27A/KCNAB2/HP/AGA/PYGB/CLEC4C/DDX3X/HEXB/PKM/TMEM30A/FGL2/TMC6/CPPED1/FPR2/TCIRG1/FCER1G/DYNC1H1/MGST1/CD93/PTPN6/FPR1/GOLGA7/RAB18/ENPP4/SNAP23/PECAM1/CDK13/ATP8A1/CYBB/PSMD7/HEBP2/GNS/MAPK1/ALDOA/ASAH1/ADGRE3/DNAJC3/ATP6AP2/RAC1/HSP90AB1/MNDA/ALOX5/FCGR3B/C6orf120/S100P/PGM1",79
"R-HSA-983695","Antigen activates B Cell Receptor (BCR) leading to generation of second messengers","12/891","32/10668",5.01977907906982e-06,0.00320010916290701,0.00288505197597066,"CD19/BLK/CD79A/NCK1/FYN/CD22/PIK3AP1/ITPR1/CD79B/STIM1/PTPN6/PIK3R1",12
"R-HSA-983169","Class I MHC mediated antigen processing & presentation","52/891","368/10668",0.000109878043935686,0.038942431410041,0.0351084706706004,"HECTD1/CDC27/ZNRF1/UBE2O/TPP2/VAMP3/CYBA/RNF19A/TLR1/KLHL20/NPEPPS/RNF14/SEC22B/RNF7/RNF114/MIB2/UBE2C/PDIA3/HERC4/KLHL5/ERAP1/PSMA1/RNF6/FBXL3/IKBKB/RBBP6/RBCK1/ANAPC2/LNPEP/CDC34/TRIM11/MRC1/ANAPC5/UBE2D1/RNF138/UBE2Q2/ERAP2/SEC23A/SNAP23/CYBB/PSMD7/TLR4/PSMD10/PSME3/TLR6/UBE2F/LY96/SEC61A1/UBE2D3/LMO7/ITCH/RLIM",52
"R-HSA-983705","Signaling by the B Cell Receptor (BCR)","22/891","112/10668",0.000122172333835423,0.038942431410041,0.0351084706706004,"CD19/BLK/HRAS/CARD11/CD79A/NCK1/FYN/CD22/PIK3AP1/ITPR1/CD79B/PSMA1/IKBKB/MALT1/STIM1/PTPN6/PSMD7/PSMD10/PSME3/RASGRP3/REL/PIK3R1",22
"R-HSA-140534","Caspase activation via Death Receptors in the presence of ligand","7/891","16/10668",0.000161676579158223,0.0407856275478391,0.0367702004394141,"TNFSF10/FAS/CASP8/CFLAR/TNFRSF10B/TLR4/LY96",7
"R-HSA-210990","PECAM1 interactions","6/891","12/10668",0.000198690419954097,0.0407856275478391,0.0367702004394141,"FYN/PLCG1/PTPN6/INPP5D/ITGB3/PECAM1",6
"R-HSA-912526","Interleukin receptor SHC signaling","9/891","27/10668",0.000223921092419509,0.0407856275478391,0.0367702004394141,"CSF2RA/JAK3/IL3RA/JAK2/PIK3R3/PTPN6/INPP5D/CSF2RB/PIK3R1",9
"R-HSA-449147","Signaling by Interleukins","60/891","460/10668",0.000317476282784237,0.0505977825687378,0.0456163290526825,"CSF2RA/PTPN12/CD86/IL18/RAPGEF1/IL13RA1/JAK3/SIGIRR/AGER/CASP1/CREB1/SOS2/IL3RA/RIPK2/IL1R2/IL6R/IL4R/IL6ST/JAK2/HSP90AA1/VAMP2/MAPK14/CISH/FYN/PIK3R3/CCR2/SMARCA4/FCER2/HNRNPDL/ZEB1/PSMA1/STX3/IKBKB/CXCL10/RPS6KA3/ATF1/MCL1/IL1R1/MAPKAPK3/PDCD4/PTPN6/FPR1/INPP5D/SQSTM1/SERPINB2/HGF/CSF2RB/GSTO1/PSMD7/PELI2/SOD2/ANXA1/PSMD10/MAP2K4/MAPK1/PSME3/PIK3R1/ALOX5/MTAP/DUSP3",60
"R-HSA-373753","Nephrin family interactions","8/891","23/10668",0.000361048033714971,0.0508118919760373,0.0458093589579631,"IQGAP1/SPTAN1/NCK1/FYN/SPTBN1/CASK/WASL/PIK3R1",8
"R-HSA-168643","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways","13/891","55/10668",0.000468269803311631,0.0508118919760373,0.0458093589579631,"NLRC4/CASP1/RIPK2/CASP4/NLRP3/TXNIP/MAPK14/CASP8/NLRP1/IKBKB/HSP90AB1/ITCH/PSTPIP1",13
