"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1552275_s_at","PXK","54899","PX domain containing serine/threonine kinase like",-0.28889222735143,7.35256524650743,-0.761063472785432,0.45281975907594,0.85935960819743,-4.60509710617284
"2","1552309_a_at","NEXN","91624","nexilin F-actin binding protein",-0.62597366419187,7.48069134944243,-1.38314967256236,0.1772723556884,0.85935960819743,-4.57600072782606
"3","1552343_s_at","PDE7A","5150","phosphodiesterase 7A",0.192740955935215,7.38630621702871,0.453304942350972,0.65373380733862,0.908752079128702,-4.61371948956462
"4","1552472_a_at","ACAP2","23527","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",-0.482427537413135,7.77514369623296,-1.2044410325652,0.2382461205982,0.85935960819743,-4.58580287196522
"5","1552480_s_at","PTPRC","5788","protein tyrosine phosphatase receptor type C",0.296051131372379,6.2704917517518,0.598656879375884,0.554091963278552,0.890626519950781,-4.61016565306584
"6","1552486_s_at","LACTB","114294","lactamase beta",-0.634596316619446,6.78665212875213,-1.33435016768299,0.19256735355595,0.85935960819743,-4.57878202977989
"7","1552536_at","VTI1A","143187","vesicle transport through interaction with t-SNAREs 1A",0.329843480453309,7.21715756261713,0.64541103830637,0.523781284724288,0.872595777244421,-4.60882333125046
"8","1552542_s_at","TAGAP","117289","T cell activation RhoGTPase activating protein",-0.331259120586957,7.46079298940107,-0.712697537756991,0.481780535141477,0.85935960819743,-4.60672497911063
"9","1552552_s_at","CLEC4C","170482","C-type lectin domain family 4 member C",0.0723597798630733,5.15647679158853,0.165959785122408,0.869350767427639,0.962017827252343,-4.61790174744936
"10","1552554_a_at","NLRC4","58484","NLR family CARD domain containing 4",-0.329029116565326,5.70310581727162,-0.62725758223741,0.53544309763283,0.876733657424813,-4.60935587553405
"11","1552610_a_at","JAK1","3716","Janus kinase 1",-0.496475622041617,10.4365688380016,-1.01219963738659,0.31989010980875,0.85935960819743,-4.59509938706371
"12","1552612_at","CDC42SE2","56990","CDC42 small effector 2",-0.507027487832604,8.59398475616081,-0.924322441759171,0.363015802020612,0.85935960819743,-4.5988851248558
"13","1552660_a_at","C5orf22","55322","chromosome 5 open reading frame 22",-0.332142217955051,5.26500585404219,-0.703960088194475,0.48712345670927,0.85935960819743,-4.60700845535245
"14","1552798_a_at","TLR4","7099","toll like receptor 4",-0.533201838397893,7.55482549860027,-1.07914047640114,0.28950023309589,0.85935960819743,-4.5920166299072
"15","1552806_a_at","SIGLEC10","89790","sialic acid binding Ig like lectin 10",-0.222083991886196,7.36286713561494,-0.512929504312065,0.611921515728877,0.908752079128702,-4.61237617762435
"16","1553176_at","SH2D1B","117157","SH2 domain containing 1B",-0.134001560494818,6.08277976724249,-0.25113654403036,0.803495738023776,0.94967160585674,-4.61706270948133
"17","1553186_x_at","RASEF","158158","RAS and EF-hand domain containing",0.391764615991676,9.83080271078426,0.795591376406592,0.432792756917278,0.85935960819743,-4.60387472907759
"18","1553530_a_at","ITGB1","3688","integrin subunit beta 1",-0.639337111771557,9.70878681148249,-1.27508092666049,0.212493882262407,0.85935960819743,-4.58205573675541
"19","1553575_at","ND6","4541","NADH dehydrogenase subunit 6",0.07960127922364,8.34659217544743,0.160822687064351,0.87335836202576,0.963276966659299,-4.61794144368694
"20","1553685_s_at","SP1","6667","Sp1 transcription factor",-0.423663945420794,6.67966780803624,-0.877852502507751,0.38730478647105,0.85935960819743,-4.60076383436382
"21","1553694_a_at","PIK3C2A","5286","phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha",-0.0437404732694695,6.39272128119923,-0.0966102776284435,0.923706554745907,0.982890677188816,-4.61833257680799
"22","1553852_at","VPS13B","157680","vacuolar protein sorting 13 homolog B",-0.175826672224269,5.70491616704441,-0.451238134992854,0.655204974899476,0.908752079128702,-4.61376316828128
"23","1553962_s_at","RHOB","388","ras homolog family member B",-0.483692626193797,6.83603063201307,-0.939833136872613,0.355136813981494,0.85935960819743,-4.59823889680282
"24","1554029_a_at","TTC37","9652","tetratricopeptide repeat domain 37",0.0638338140289587,5.5894543794826,0.141347788229321,0.888581477525606,0.968548386214942,-4.61808063482213
"25","1554036_at","ZBTB24","9841","zinc finger and BTB domain containing 24",-0.500717560432101,7.32263287596953,-0.97809900179883,0.336188529635121,0.85935960819743,-4.59660414613698
"26","1554052_at","CNOT1","23019","CCR4-NOT transcription complex subunit 1",-0.325836609876377,6.83095052579357,-0.688694939386306,0.49653840262461,0.85935960819743,-4.60749587187093
"27","1554132_a_at","CCSER2","54462","coiled-coil serine rich protein 2",-0.15623945999443,7.23428622282307,-0.385348055552466,0.702817387481572,0.920928257949676,-4.61505351947888
"28","1554152_a_at","OGDH","4967","oxoglutarate dehydrogenase",-0.200177878352497,7.20192082732421,-0.455284838277879,0.652325831313474,0.908752079128702,-4.61367746559931
"29","1554159_a_at","ZMYND11","10771","zinc finger MYND-type containing 11",-0.300214262730778,5.92199429160145,-0.721979654337031,0.476141498489193,0.85935960819743,-4.60642026308195
"30","1554167_a_at","GOLGA7","51125","golgin A7",-0.503316778526266,9.24474047273753,-1.13609598129653,0.265302924194095,0.85935960819743,-4.58926241627276
