"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1487_at","ESRRA","2101","estrogen related receptor alpha",-0.453137445214723,8.20248456468031,-2.04859768240845,0.0528353274200373,0.264124221100762,-4.19744134654183
"2","1552258_at","CYTOR","112597","cytoskeleton regulator RNA",-0.472262901520125,5.5122137917577,-1.96286616248355,0.0626570074403886,0.284440234677584,-4.34023971286233
"3","1552275_s_at","PXK","54899","PX domain containing serine/threonine kinase like",0.909859581605017,7.35256524650743,3.20969346635577,0.00410096863835452,0.0899305136702049,-1.95304520772096
"4","1552277_a_at","MSANTD3","91283","Myb/SANT DNA binding domain containing 3",-0.46675534072192,6.58355757682631,-1.88823661585601,0.0724882155313624,0.304643968359078,-4.46115072475525
"5","1552287_s_at","AFG3L1P","172","AFG3 like matrix AAA peptidase subunit 1, pseudogene",-0.0312651407123301,8.93879491415794,-0.114630452670728,0.909796043126157,0.963122323805191,-6.08857052318347
"6","1552302_at","TMEM106A","113277","transmembrane protein 106A",0.668962799519067,6.2280659061968,1.53378181886951,0.139588859347192,0.412302615621629,-4.98802126077507
"7","1552309_a_at","NEXN","91624","nexilin F-actin binding protein",-0.257550493600999,7.48069134944243,-0.641708905884326,0.527808272088454,0.745699491675801,-5.8924273938471
"8","1552312_a_at","MFAP3","4238","microfibril associated protein 3",0.421312462696326,4.77500126809115,1.28351699350908,0.212899125764864,0.501937160759002,-5.30737609334145
"9","1552318_at","GIMAP1","170575","GTPase, IMAP family member 1",0.295314006946922,9.64019415762961,1.12152758608738,0.274366805963502,0.554344160084236,-5.48824142065546
"10","1552321_a_at","CCDC65","85478","coiled-coil domain containing 65",-0.588597663153407,5.66531200903644,-2.54224342972199,0.0187125540637359,0.171753296770793,-3.30412921540828
"11","1552327_at","ARMCX4","100131755","armadillo repeat containing X-linked 4",0.169201169909133,4.77213509264067,0.649566709596553,0.522814632718707,0.741880401905549,-5.88748386591284
"12","1552330_at","CENPBD1","92806","CENPB DNA-binding domain containing 1",0.333843398253203,5.63984469644168,1.25922762735662,0.221375181912506,0.508912502949236,-5.33583484519031
"13","1552334_at","TRIOBP","11078","TRIO and F-actin binding protein",0.374924751280751,5.91450514137252,1.34866864042892,0.191403125686818,0.472900055577278,-5.22877112941227
"14","1552335_at","CATSPER1","117144","cation channel sperm associated 1",0.0906529677908479,6.48941853527292,0.327547069712544,0.746404933453553,0.88144702593683,-6.04190812769168
"15","1552343_s_at","PDE7A","5150","phosphodiesterase 7A",-0.271102810924664,7.38630621702871,-0.754413370530833,0.458740683830501,0.693964066593184,-5.81603297361948
"16","1552386_at","GAPT","202309","GRB2 binding adaptor protein, transmembrane",0.795990242484145,8.61968965295913,2.90897171106365,0.00823061656253889,0.118210815339184,-2.57758196291773
"17","1552410_at","CLEC4F","165530","C-type lectin domain family 4 member F",0.0303500641194638,5.57631039053255,0.0740258894157937,0.941670475986498,0.976956460468595,-6.09237660589999
"18","1552417_a_at","NEDD1","121441","NEDD1 gamma-tubulin ring complex targeting factor",0.262800628188796,5.69214696953863,0.973806743024267,0.34092359666297,0.60940546420174,-5.63426263702026
"19","1552423_at","ETV3","2117","ETS variant transcription factor 3",0.385335176406771,6.26583943097034,1.43751062098893,0.164890769880058,0.445950134825776,-5.11637541878795
"20","1552470_a_at","ABHD11","83451","abhydrolase domain containing 11",0.178572442386218,4.15395302565208,0.720316635325443,0.479046754706167,0.710184347444653,-5.84038397734459
"21","1552472_a_at","ACAP2","23527","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",0.26748338955172,7.77514369623296,0.837188855023857,0.411646165365231,0.662414754878439,-5.75250599608381
"22","1552480_s_at","PTPRC","5788","protein tyrosine phosphatase receptor type C",0.897291127479428,6.2704917517518,1.94012225576138,0.0655204071396709,0.289357871671167,-4.37743000764935
"23","1552486_s_at","LACTB","114294","lactamase beta",0.647710827119798,6.78665212875213,1.48800898911179,0.151190973776758,0.427286212485185,-5.0498824629467
"24","1552497_a_at","SLAMF6","114836","SLAM family member 6",-0.0790013247638264,8.95341701245272,-0.266707937232301,0.792221557885143,0.90501120611726,-6.05980209167418
"25","1552519_at","ACVR1C","130399","activin A receptor type 1C",0.105876731930814,6.56049994716223,0.380163670029909,0.707533350581818,0.859720413209979,-6.02351061763385
"26","1552536_at","VTI1A","143187","vesicle transport through interaction with t-SNAREs 1A",-0.0916629771135709,7.21715756261713,-0.188685682259177,0.852099251164449,0.937086016284954,-6.07741818685336
"27","1552542_s_at","TAGAP","117289","T cell activation RhoGTPase activating protein",0.834990602734089,7.46079298940107,1.9903895799386,0.0593403796123102,0.278413568776938,-4.29484107599979
"28","1552552_s_at","CLEC4C","170482","C-type lectin domain family 4 member C",0.999315592103597,5.15647679158853,2.65640647794108,0.014547496951679,0.154291551831315,-3.08282365989873
"29","1552554_a_at","NLRC4","58484","NLR family CARD domain containing 4",1.35880659123819,5.70310581727162,2.6931003216925,0.0134059544926213,0.150787064036426,-3.01070002988171
"30","1552610_a_at","JAK1","3716","Janus kinase 1",0.279065818832921,10.4365688380016,0.610986052631643,0.547579812480238,0.759383443517931,-5.91120013392922
"31","1552612_at","CDC42SE2","56990","CDC42 small effector 2",-0.441768529077635,8.59398475616081,-0.822064215850023,0.420015090395152,0.668082013886278,-5.7645765055283
"32","1552617_a_at","COP1","64326","COP1 E3 ubiquitin ligase",0.133302032788247,8.41189200648292,0.503182937886331,0.619923971461511,0.803652403445987,-5.97001009465476
"33","1552625_a_at","TRNT1","51095","tRNA nucleotidyl transferase 1",0.722759757229966,6.3523674590433,2.5396187642653,0.0188203218907011,0.172115430140186,-3.3091598579763
"34","1552630_a_at","SRCAP","10847","Snf2 related CREBBP activator protein",-0.963285132235078,6.23132401632554,-4.34001706634428,0.000272101257081663,0.0366205180411544,0.511275328187597
"35","1552634_a_at","ZNF101","94039","zinc finger protein 101",0.29689251494889,8.92230869154509,0.947860496554831,0.353676393992524,0.619334030365601,-5.65798152039616
"36","1552644_a_at","PHC3","80012","polyhomeotic homolog 3",0.22113791770354,6.06757697785882,0.777280402234932,0.445416250187214,0.687007188458332,-5.79910536780539
"37","1552656_s_at","UHMK1","127933","U2AF homology motif kinase 1",0.431817641803603,6.75089625197248,1.15188219096299,0.261949294407724,0.545974942864149,-5.45596948369788
"38","1552660_a_at","C5orf22","55322","chromosome 5 open reading frame 22",0.534525440736219,5.26500585404219,1.24364228248527,0.226948750754501,0.513513585564404,-5.35385026760893
"39","1552678_a_at","USP28","57646","ubiquitin specific peptidase 28",-0.0527479097506154,7.29671946392551,-0.158042794783731,0.875890026621855,0.950799190897788,-6.08269181020716
"40","1552701_a_at","CARD16","114769","caspase recruitment domain family member 16",0.177890352306305,10.1911907300336,0.759426334833536,0.455799348636383,0.691377071622035,-5.8123629378211
"41","1552719_at","GOLM2","113201","golgi membrane protein 2",-0.192272724352478,6.95200364333018,-0.588175016531953,0.562509673633313,0.76766560023751,-5.92456381772856
"42","1552737_s_at","WWP2","11060","WW domain containing E3 ubiquitin protein ligase 2",0.0278625780334778,6.00877254045386,0.0853189567010444,0.932793047421898,0.973559272153882,-6.09148238733868
"43","1552742_at","KCNH8","131096","potassium voltage-gated channel subfamily H member 8",-0.106335810068526,4.36752006345484,-0.413244100519196,0.683498065048798,0.848103114942352,-6.01056321123126
"44","1552773_at","CLEC4D","338339","C-type lectin domain family 4 member D",0.0247280194445239,7.80471553077186,0.0575986704105672,0.954597383344254,0.984086786962295,-6.0934511802934
"45","1552787_at","HELB","92797","DNA helicase B",1.04675072257589,6.07545620484598,3.27585375066847,0.0035105881418049,0.084219255392397,-1.81294759403595
"46","1552798_a_at","TLR4","7099","toll like receptor 4",0.374935225952457,7.55482549860027,0.811749934283449,0.425783253985084,0.672017449847842,-5.77268983349237
"47","1552804_a_at","TIRAP","114609","TIR domain containing adaptor protein",0.00617143098045947,5.92558833993932,0.0251714674296942,0.980149102217764,0.991363172636554,-6.09478522311863
"48","1552806_a_at","SIGLEC10","89790","sialic acid binding Ig like lectin 10",0.646788002214043,7.36286713561494,1.74101563227953,0.0958958458313113,0.34283219921371,-4.68985793621028
"49","1552812_a_at","SENP1","29843","SUMO specific peptidase 1",0.207124616650231,5.19364185040854,0.718265859713829,0.480284632512531,0.71097363784684,-5.84181449346959
"50","1552845_at","CLDN15","24146","claudin 15",-0.299976704815216,7.06981850409676,-1.01930789274105,0.319329054114587,0.593763506894245,-5.59126202416731
"51","1552872_at","ASMTL-AS1","80161","ASMTL antisense RNA 1",-0.302818280125763,5.06035700380743,-1.12502557827766,0.272914250484444,0.554217702602016,-5.48456124648359
"52","1552928_s_at","TAB3","257397","TGF-beta activated kinase 1 (MAP3K7) binding protein 3",0.0253779696780256,4.45616070284401,0.0847953134749676,0.933204492329039,0.973787002867266,-6.09152665147035
"53","1552977_a_at","CNPY3","10695","canopy FGF signaling regulator 3",0.331357004012295,9.31822435935236,1.39418549845823,0.177426660418287,0.458643587046023,-5.17192674779103
"54","1553048_a_at","PIP4K2B","8396","phosphatidylinositol-5-phosphate 4-kinase type 2 beta",0.219014367742835,5.33605204521138,0.777355890813878,0.445372657903997,0.687007188458332,-5.79904869657073
"55","1553099_at","TIGD1","200765","tigger transposable element derived 1",-0.25941363729638,7.06627966644221,-0.930844373719071,0.362213154101469,0.627429385877382,-5.67321820185348
