"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1552275_s_at","PXK","54899","PX domain containing serine/threonine kinase like",-1.19875180895645,7.35256524650743,-3.31215490012037,0.00250603266753148,0.0542709461692085,-1.59434094216741
"2","1552309_a_at","NEXN","91624","nexilin F-actin binding protein",-0.36842317059087,7.48069134944243,-0.853800479720721,0.400277214650319,0.512581845288936,-5.79623202368109
"3","1552343_s_at","PDE7A","5150","phosphodiesterase 7A",0.463843766859879,7.38630621702871,1.14415407851207,0.262001359157872,0.380166237279506,-5.51966888900116
"4","1552472_a_at","ACAP2","23527","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",-0.749910926964855,7.77514369623296,-1.96362917948483,0.0593146686739792,0.16624533965232,-4.36829122352556
"5","1552480_s_at","PTPRC","5788","protein tyrosine phosphatase receptor type C",-0.601239996107049,6.2704917517518,-1.27513292076936,0.212475738273312,0.328164215400652,-5.37095146861763
"6","1552486_s_at","LACTB","114294","lactamase beta",-1.28230714373924,6.78665212875213,-2.82787801696188,0.00844710417583774,0.0847126864292689,-2.68426950802633
"7","1552536_at","VTI1A","143187","vesicle transport through interaction with t-SNAREs 1A",0.421506457566879,7.21715756261713,0.865025797253101,0.394188952189569,0.5096283318779,-5.78694240335404
"8","1552542_s_at","TAGAP","117289","T cell activation RhoGTPase activating protein",-1.16624972332105,7.46079298940107,-2.63163291767157,0.013521043533606,0.0983532066667495,-3.10002645678949
"9","1552552_s_at","CLEC4C","170482","C-type lectin domain family 4 member C",-0.926955812240523,5.15647679158853,-2.22977479212996,0.0337425324268828,0.135373426907852,-3.89317044336804
"10","1552554_a_at","NLRC4","58484","NLR family CARD domain containing 4",-1.68783570780352,5.70310581727162,-3.37472276763327,0.00213175827730344,0.0542709461692085,-1.44795381919185
"11","1552610_a_at","JAK1","3716","Janus kinase 1",-0.775541440874537,10.4365688380016,-1.6583248189048,0.108130034909326,0.217238339881663,-4.85620326750588
"12","1552612_at","CDC42SE2","56990","CDC42 small effector 2",-0.0652589587549688,8.59398475616081,-0.124775257686671,0.901570277288956,0.92975976898477,-6.14425250171569
"13","1552660_a_at","C5orf22","55322","chromosome 5 open reading frame 22",-0.866667658691269,5.26500585404219,-1.92651719011677,0.0639823756618911,0.170791937271369,-4.43099768019876
"14","1552798_a_at","TLR4","7099","toll like receptor 4",-0.908137064350351,7.55482549860027,-1.92767621146547,0.0638319036304599,0.170791937271369,-4.42905304477132
"15","1552806_a_at","SIGLEC10","89790","sialic acid binding Ig like lectin 10",-0.868871994100239,7.36286713561494,-2.10471146796315,0.0441805229460673,0.146662748401328,-4.12184476115426
"16","1553176_at","SH2D1B","117157","SH2 domain containing 1B",-0.775407142580941,6.08277976724249,-1.52414468979021,0.138403685923111,0.251574930910781,-5.04944790208766
"17","1553186_x_at","RASEF","158158","RAS and EF-hand domain containing",0.177124256720939,9.83080271078426,0.377258681259844,0.708753314308269,0.784301744514755,-6.0817629655729
"18","1553530_a_at","ITGB1","3688","integrin subunit beta 1",-0.370458911672802,9.70878681148249,-0.774897435701388,0.444730280749577,0.548827687150519,-5.85826779932641
"19","1553575_at","ND6","4541","NADH dehydrogenase subunit 6",-0.320390117410671,8.34659217544743,-0.678895173654985,0.502635973190253,0.601133521380743,-5.92596433072628
"20","1553685_s_at","SP1","6667","Sp1 transcription factor",-0.702761016867303,6.67966780803624,-1.52722860696163,0.137637518922144,0.250967054612587,-5.04515950296363
"21","1553694_a_at","PIK3C2A","5286","phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha",-0.961442464140936,6.39272128119923,-2.22720141937398,0.0339327862291493,0.135596491002989,-3.89796859032436
"22","1553852_at","VPS13B","157680","vacuolar protein sorting 13 homolog B",-1.72861573910456,5.70491616704441,-4.65281563889511,6.78069964770839e-05,0.0180668162671243,1.70736150253298
